,sqft_living,floors,waterfront,viewed_by_buyer,condition,yr_built
0,1180,1,0.0,0.0,3,1955
1,2570,2,0.0,0.0,3,1951
2,770,1,0.0,0.0,3,1933
3,1960,1,0.0,0.0,5,1965
4,1680,1,0.0,0.0,3,1987
6,1715,2,0.0,0.0,3,1995
7,1060,1,0.0,0.0,3,1963
8,1780,1,0.0,0.0,3,1960
9,1890,2,0.0,0.0,3,2003
11,1160,1,0.0,0.0,4,1942
12,1430,1,0.0,0.0,4,1927
13,1370,1,0.0,0.0,4,1977
14,1810,1,0.0,0.0,3,1900
16,1890,2,0.0,0.0,3,1994
17,1600,1,0.0,0.0,4,1916
18,1200,1,0.0,0.0,4,1921
19,1250,1,0.0,0.0,4,1969
20,1620,1,0.0,0.0,4,1947
22,2270,2,0.0,0.0,3,1995
23,1070,1,0.0,0.0,3,1985
24,2450,2,0.0,0.0,4,1985
25,1710,1,0.0,0.0,5,1941
26,2450,2,0.0,0.0,3,1915
27,1400,1,0.0,0.0,5,1909
28,1520,1,0.0,0.0,3,1948
29,2570,2,0.0,0.0,3,2005
30,2320,2,0.0,0.0,3,2003
31,1190,3,0.0,0.0,3,2005
32,2330,1,0.0,0.0,4,1929
33,1090,1,0.0,0.0,4,1929
34,2060,1,0.0,0.0,3,1981
35,2300,1,0.0,0.0,3,1930
37,2360,2,0.0,0.0,4,1904
38,1220,1,0.0,0.0,2,1969
39,2620,2,0.0,0.0,3,1996
40,2570,2,0.0,0.0,3,2000
42,3595,2,0.0,0.0,3,2014
43,1570,2,0.0,0.0,3,1922
44,1280,1,0.0,0.0,4,1959
45,3160,2,0.0,0.0,3,2003
46,990,1,0.0,0.0,3,1966
47,2290,2,0.0,0.0,4,1981
48,1250,1,0.0,0.0,4,1953
50,1190,1,0.0,0.0,3,1955
51,3150,1,0.0,0.0,4,1966
52,1410,1,0.0,0.0,4,1950
53,1980,1,0.0,0.0,3,1981
54,2730,1,0.0,0.0,3,1927
55,2830,2,0.0,0.0,3,1995
56,2250,2,0.0,0.0,3,2008
57,2420,2,0.0,0.0,3,2003
59,1850,2,0.0,0.0,3,1991
61,1260,1,0.0,0.0,3,1954
62,2519,2,0.0,0.0,5,1973
63,1540,3,0.0,0.0,3,2014
64,1660,1,0.0,0.0,3,1979
65,2770,1,0.0,0.0,5,1925
66,2720,2,0.0,0.0,3,1989
67,2240,2,0.0,0.0,3,2005
68,1000,1,0.0,0.0,4,1968
71,1260,1,0.0,0.0,4,1972
72,2750,1,0.0,0.0,5,1916
73,2380,2,0.0,0.0,3,2005
74,1790,1,0.0,0.0,5,1965
75,3430,2,0.0,0.0,4,1986
76,1760,1,0.0,0.0,3,1956
77,1040,1,0.0,0.0,3,1941
78,1410,1,0.0,0.0,4,1956
79,3450,2,0.0,0.0,3,2002
80,2350,2,0.0,0.0,3,2003
81,1900,2,0.0,0.0,3,1992
82,2020,1,0.0,0.0,3,1948
83,1680,1,0.0,0.0,3,1964
84,960,1,0.0,0.0,3,1952
85,2140,2,0.0,0.0,3,1925
86,2660,1,0.0,0.0,5,1961
87,2770,2,0.0,0.0,3,2006
88,1610,2,0.0,0.0,4,1979
89,1030,2,0.0,0.0,3,2006
90,1980,2,0.0,0.0,3,1988
91,3520,2,0.0,0.0,4,2001
92,1200,1,0.0,0.0,3,1962
93,1580,1,0.0,0.0,3,1939
94,1580,1,0.0,0.0,3,1939
95,3300,1,0.0,0.0,3,1946
96,1960,1,0.0,0.0,3,1967
97,1160,1,0.0,0.0,4,1975
100,2070,1,0.0,0.0,5,1910
101,1980,1,0.0,0.0,4,1929
102,2190,2,0.0,0.0,4,1983
103,2920,2,0.0,0.0,3,1950
104,1210,1,0.0,0.0,3,1954
105,2340,1,0.0,0.0,4,1978
106,1670,1,0.0,0.0,4,1939
107,1240,1,0.0,0.0,4,1985
108,3140,2,0.0,0.0,4,1991
109,2030,2,0.0,0.0,4,1942
110,2310,2,0.0,0.0,3,1984
111,1260,1,0.0,0.0,5,1905
112,1540,1,0.0,0.0,4,1980
114,3230,2,0.0,0.0,3,2001
116,1590,3,0.0,0.0,3,2010
117,880,1,0.0,0.0,4,1945
118,1570,1,0.0,0.0,3,1950
119,1610,1,0.0,0.0,4,1925
121,1450,1,0.0,0.0,3,1987
122,770,1,0.0,0.0,3,1953
123,2100,1,0.0,0.0,5,1924
124,2910,2,0.0,0.0,3,1990
127,2160,1,0.0,0.0,3,1978
128,2320,2,0.0,0.0,5,1926
129,2070,2,0.0,0.0,3,2004
