,zipcode,lat,long,price_est
0,98178,47.5112,-122.257,221900.0
1,98125,47.721000000000004,-122.319,538000.0
2,98028,47.7379,-122.23299999999999,180000.0
3,98136,47.5208,-122.39299999999999,604000.0
4,98074,47.6168,-122.045,510000.0
6,98003,47.3097,-122.32700000000001,257500.0
7,98198,47.4095,-122.315,291850.0
8,98146,47.5123,-122.337,229500.0
9,98038,47.3684,-122.031,323000.0
11,98115,47.69,-122.292,468000.0
12,98028,47.7558,-122.229,310000.0
13,98074,47.6127,-122.045,400000.0
14,98107,47.67,-122.39399999999999,530000.0
16,98019,47.7277,-121.962,395000.0
17,98103,47.6648,-122.34299999999999,485000.0
18,98002,47.3089,-122.21,189000.0
19,98003,47.3343,-122.306,230000.0
20,98133,47.7025,-122.34100000000001,385000.0
22,98092,47.3266,-122.169,285000.0
23,98030,47.3533,-122.166,252700.0
24,98030,47.3739,-122.17200000000001,329000.0
25,98002,47.3048,-122.21799999999999,233000.0
26,98119,47.6386,-122.36,937000.0
27,98112,47.6221,-122.314,667000.0
28,98115,47.695,-122.304,438000.0
29,98052,47.7073,-122.11,719000.0
30,98027,47.5391,-122.07,580500.0
31,98133,47.7274,-122.35700000000001,280000.0
32,98117,47.6823,-122.368,687500.0
33,98117,47.6889,-122.375,535000.0
34,98058,47.4276,-122.15700000000001,322500.0
35,98115,47.6827,-122.31,696000.0
37,98107,47.6702,-122.36200000000001,640000.0
38,98001,47.3341,-122.28200000000001,240000.0
39,98056,47.5301,-122.18,605000.0
40,98074,47.6145,-122.027,625000.0
42,98053,47.6848,-122.016,861990.0
43,98119,47.6413,-122.36399999999999,685000.0
44,98058,47.4485,-122.175,309000.0
45,98019,47.7443,-121.977,488000.0
46,98023,47.3066,-122.37100000000001,210490.0
47,98007,47.6194,-122.15100000000001,785000.0
48,98115,47.6796,-122.301,450000.0
50,98148,47.4258,-122.322,228000.0
51,98056,47.4934,-122.189,345000.0
52,98117,47.6808,-122.384,600000.0
53,98117,47.6989,-122.369,585000.0
54,98105,47.6571,-122.281,920000.0
55,98105,47.6597,-122.29,885000.0
56,98042,47.3663,-122.11399999999999,292500.0
57,98042,47.3663,-122.12200000000001,301000.0
59,98059,47.5059,-122.149,430000.0
61,98148,47.4366,-122.335,289000.0
62,98166,47.4428,-122.344,505000.0
63,98115,47.6765,-122.32,549000.0
64,98122,47.6113,-122.29700000000001,425000.0
65,98144,47.5747,-122.304,317625.0
66,98004,47.5815,-122.19200000000001,975000.0
67,98001,47.3378,-122.257,287000.0
