,Unnamed: 0,zipcode,lat,long,price_est,city,statecode
0,0,98178,47.5112,-122.257,221900.0,SEATTLE,WA
1,1,98125,47.721,-122.319,538000.0,SEATTLE,WA
2,2,98028,47.7379,-122.233,180000.0,KENMORE,WA
3,3,98136,47.5208,-122.393,604000.0,SEATTLE,WA
4,4,98074,47.6168,-122.045,510000.0,SAMMAMISH,WA
5,6,98003,47.3097,-122.327,257500.0,FEDERAL WAY,WA
6,7,98198,47.4095,-122.315,291850.0,SEATTLE,WA
7,8,98146,47.5123,-122.337,229500.0,SEATTLE,WA
8,9,98038,47.3684,-122.031,323000.0,MAPLE VALLEY,WA
9,11,98115,47.69,-122.292,468000.0,SEATTLE,WA
10,12,98028,47.7558,-122.229,310000.0,KENMORE,WA
11,13,98074,47.6127,-122.045,400000.0,SAMMAMISH,WA
12,14,98107,47.67,-122.394,530000.0,SEATTLE,WA
13,16,98019,47.7277,-121.962,395000.0,DUVALL,WA
14,17,98103,47.6648,-122.343,485000.0,SEATTLE,WA
15,18,98002,47.3089,-122.21,189000.0,AUBURN,WA
16,19,98003,47.3343,-122.306,230000.0,FEDERAL WAY,WA
17,20,98133,47.7025,-122.341,385000.0,SEATTLE,WA
18,22,98092,47.3266,-122.169,285000.0,AUBURN,WA
19,23,98030,47.3533,-122.166,252700.0,KENT,WA
20,24,98030,47.3739,-122.172,329000.0,KENT,WA
21,25,98002,47.3048,-122.218,233000.0,AUBURN,WA
22,26,98119,47.6386,-122.36,937000.0,SEATTLE,WA
23,27,98112,47.6221,-122.314,667000.0,SEATTLE,WA
24,28,98115,47.695,-122.304,438000.0,SEATTLE,WA
25,29,98052,47.7073,-122.11,719000.0,REDMOND,WA
26,30,98027,47.5391,-122.07,580500.0,ISSAQUAH,WA
27,31,98133,47.7274,-122.357,280000.0,SEATTLE,WA
28,32,98117,47.6823,-122.368,687500.0,SEATTLE,WA
29,33,98117,47.6889,-122.375,535000.0,SEATTLE,WA
30,34,98058,47.4276,-122.157,322500.0,RENTON,WA
31,35,98115,47.6827,-122.31,696000.0,SEATTLE,WA
32,37,98107,47.6702,-122.362,640000.0,SEATTLE,WA
33,38,98001,47.3341,-122.282,240000.0,AUBURN,WA
34,39,98056,47.5301,-122.18,605000.0,RENTON,WA
35,40,98074,47.6145,-122.027,625000.0,SAMMAMISH,WA
36,42,98053,47.6848,-122.016,861990.0,REDMOND,WA
37,43,98119,47.6413,-122.364,685000.0,SEATTLE,WA
38,44,98058,47.4485,-122.175,309000.0,RENTON,WA
39,45,98019,47.7443,-121.977,488000.0,DUVALL,WA
40,46,98023,47.3066,-122.371,210490.0,FEDERAL WAY,WA
41,47,98007,47.6194,-122.151,785000.0,BELLEVUE,WA
42,48,98115,47.6796,-122.301,450000.0,SEATTLE,WA
43,50,98148,47.4258,-122.322,228000.0,SEATTLE,WA
44,51,98056,47.4934,-122.189,345000.0,RENTON,WA
45,52,98117,47.6808,-122.384,600000.0,SEATTLE,WA
46,53,98117,47.6989,-122.369,585000.0,SEATTLE,WA
47,54,98105,47.6571,-122.281,920000.0,SEATTLE,WA
48,55,98105,47.6597,-122.29,885000.0,SEATTLE,WA
49,56,98042,47.3663,-122.114,292500.0,KENT,WA
50,57,98042,47.3663,-122.122,301000.0,KENT,WA
51,59,98059,47.5059,-122.149,430000.0,RENTON,WA
52,61,98148,47.4366,-122.335,289000.0,SEATTLE,WA
53,62,98166,47.4428,-122.344,505000.0,SEATTLE,WA
54,63,98115,47.6765,-122.32,549000.0,SEATTLE,WA
55,64,98122,47.6113,-122.297,425000.0,SEATTLE,WA
56,65,98144,47.5747,-122.304,317625.0,SEATTLE,WA
57,66,98004,47.5815,-122.192,975000.0,BELLEVUE,WA
58,67,98001,47.3378,-122.257,287000.0,AUBURN,WA
59,68,98042,47.3621,-122.11,204000.0,KENT,WA
60,69,98004,47.6303,-122.215,1330000.0,BELLEVUE,WA
61,71,98034,47.7362,-122.179,325000.0,KIRKLAND,WA
62,72,98125,47.7168,-122.287,571000.0,SEATTLE,WA
63,73,98038,47.3608,-122.036,360000.0,MAPLE VALLEY,WA
64,74,98042,47.3511,-122.073,349000.0,KENT,WA
65,75,98075,47.5822,-121.987,832500.0,SAMMAMISH,WA
66,76,98008,47.6034,-122.125,380000.0,BELLEVUE,WA
67,77,98116,47.5636,-122.394,480000.0,SEATTLE,WA
68,78,98133,47.7073,-122.34,410000.0,SEATTLE,WA
69,79,98010,47.342,-122.025,720000.0,BLACK DIAMOND,WA
70,80,98038,47.3512,-122.008,390000.0,MAPLE VALLEY,WA
71,81,98038,47.349,-122.031,360000.0,MAPLE VALLEY,WA
72,82,98118,47.5474,-122.291,355000.0,SEATTLE,WA
73,83,98059,47.4811,-122.149,356000.0,RENTON,WA
74,84,98125,47.7264,-122.31,315000.0,SEATTLE,WA
75,85,98119,47.6337,-122.365,940000.0,SEATTLE,WA
76,86,98092,47.2909,-122.189,305000.0,AUBURN,WA
77,87,98056,47.5228,-122.199,461000.0,RENTON,WA
78,88,98056,47.518,-122.194,215000.0,RENTON,WA
79,89,98136,47.5394,-122.387,335000.0,SEATTLE,WA
80,90,98023,47.2897,-122.372,243500.0,FEDERAL WAY,WA
81,91,98199,47.6506,-122.391,1100000.0,SEATTLE,WA
82,92,98023,47.322,-122.351,153000.0,FEDERAL WAY,WA
83,93,98117,47.687,-122.386,430000.0,SEATTLE,WA
84,94,98117,47.687,-122.386,700000.0,SEATTLE,WA
85,95,98040,47.5873,-122.249,905000.0,MERCER ISLAND,WA
86,96,98032,47.3576,-122.277,247500.0,KENT,WA
87,97,98023,47.3036,-122.378,199000.0,FEDERAL WAY,WA
88,100,98102,47.6415,-122.315,850830.0,SEATTLE,WA
89,101,98117,47.6775,-122.372,555000.0,SEATTLE,WA
90,102,98077,47.7731,-122.08,699950.0,WOODINVILLE,WA
91,103,98004,47.5814,-122.196,1090000.0,BELLEVUE,WA
92,104,98058,47.4375,-122.184,290000.0,RENTON,WA
93,105,98058,47.4431,-122.133,375000.0,RENTON,WA
94,106,98117,47.6878,-122.38,460000.0,SEATTLE,WA
95,107,98198,47.3813,-122.322,188500.0,SEATTLE,WA
96,108,98077,47.7304,-122.082,680000.0,WOODINVILLE,WA
97,109,98052,47.6417,-122.109,470000.0,REDMOND,WA
98,110,98027,47.5386,-122.053,597750.0,ISSAQUAH,WA
99,111,98103,47.6823,-122.349,570000.0,SEATTLE,WA
100,112,98038,47.3624,-122.031,272500.0,MAPLE VALLEY,WA
101,113,98108,47.5474,-122.295,329950.0,SEATTLE,WA
102,114,98001,47.3183,-122.253,480000.0,AUBURN,WA
103,115,98117,47.6981,-122.368,740500.0,SEATTLE,WA
104,116,98103,47.6824,-122.347,518500.0,SEATTLE,WA
105,117,98178,47.5009,-122.248,205425.0,SEATTLE,WA
106,118,98168,47.4965,-122.303,171800.0,SEATTLE,WA
107,119,98144,47.587,-122.294,535000.0,SEATTLE,WA
108,120,98177,47.7728,-122.386,660000.0,SEATTLE,WA
109,121,98034,47.7288,-122.226,391500.0,KIRKLAND,WA
110,122,98117,47.6999,-122.364,395000.0,SEATTLE,WA
111,123,98118,47.5299,-122.266,445000.0,SEATTLE,WA
112,124,98052,47.6897,-122.098,770000.0,REDMOND,WA
113,125,98004,47.6141,-122.212,1450000.0,BELLEVUE,WA
114,126,98178,47.5091,-122.244,445000.0,SEATTLE,WA
115,127,98023,47.3129,-122.39,260000.0,FEDERAL WAY,WA
116,128,98103,47.6763,-122.352,822500.0,SEATTLE,WA
117,129,98065,47.5319,-121.85,430000.0,SNOQUALMIE,WA
118,130,98092,47.2761,-122.152,212000.0,AUBURN,WA
119,131,98027,47.5343,-122.054,660500.0,ISSAQUAH,WA
120,132,98052,47.697,-122.072,784000.0,REDMOND,WA
121,133,98029,47.5517,-121.998,453246.0,ISSAQUAH,WA
122,134,98107,47.6734,-122.38,675000.0,SEATTLE,WA
123,135,98003,47.3257,-122.296,199000.0,FEDERAL WAY,WA
124,136,98003,47.3309,-122.299,220000.0,FEDERAL WAY,WA
125,137,98028,47.7689,-122.266,452000.0,KENMORE,WA
126,138,98125,47.7135,-122.287,382500.0,SEATTLE,WA
127,139,98107,47.6722,-122.381,519950.0,SEATTLE,WA
128,140,98119,47.6338,-122.358,665000.0,SEATTLE,WA
129,141,98006,47.5707,-122.128,527700.0,BELLEVUE,WA
130,142,98058,47.4563,-122.171,205000.0,RENTON,WA
131,143,98133,47.7144,-122.351,420000.0,SEATTLE,WA
132,144,98006,47.5495,-122.174,500000.0,BELLEVUE,WA
133,146,98109,47.6354,-122.353,890000.0,SEATTLE,WA
134,148,98032,47.3887,-122.286,258000.0,KENT,WA
135,149,98103,47.6873,-122.336,511000.0,SEATTLE,WA
136,150,98103,47.6838,-122.353,532170.0,SEATTLE,WA
137,151,98107,47.655,-122.359,560000.0,SEATTLE,WA
