,Unnamed: 0,zipcode,lat,long,price_est,city,statecode,sqft_living,floors,waterfront,viewed_by_buyer,condition,yr_built
0,0,98178,47.5112,-122.257,221900.0,SEATTLE,WA,1180.0,1.0,0.0,0.0,3.0,1955.0
1,1,98125,47.721,-122.319,538000.0,SEATTLE,WA,2570.0,2.0,0.0,0.0,3.0,1951.0
2,2,98028,47.7379,-122.233,180000.0,KENMORE,WA,770.0,1.0,0.0,0.0,3.0,1933.0
3,3,98136,47.5208,-122.393,604000.0,SEATTLE,WA,1960.0,1.0,0.0,0.0,5.0,1965.0
4,4,98074,47.6168,-122.045,510000.0,SAMMAMISH,WA,1680.0,1.0,0.0,0.0,3.0,1987.0
5,6,98003,47.3097,-122.327,257500.0,FEDERAL WAY,WA,1715.0,2.0,0.0,0.0,3.0,1995.0
6,7,98198,47.4095,-122.315,291850.0,SEATTLE,WA,1060.0,1.0,0.0,0.0,3.0,1963.0
7,8,98146,47.5123,-122.337,229500.0,SEATTLE,WA,1780.0,1.0,0.0,0.0,3.0,1960.0
8,9,98038,47.3684,-122.031,323000.0,MAPLE VALLEY,WA,1890.0,2.0,0.0,0.0,3.0,2003.0
9,11,98115,47.69,-122.292,468000.0,SEATTLE,WA,1160.0,1.0,0.0,0.0,4.0,1942.0
10,12,98028,47.7558,-122.229,310000.0,KENMORE,WA,1430.0,1.0,0.0,0.0,4.0,1927.0
11,13,98074,47.6127,-122.045,400000.0,SAMMAMISH,WA,1370.0,1.0,0.0,0.0,4.0,1977.0
12,14,98107,47.67,-122.394,530000.0,SEATTLE,WA,1810.0,1.0,0.0,0.0,3.0,1900.0
13,16,98019,47.7277,-121.962,395000.0,DUVALL,WA,1890.0,2.0,0.0,0.0,3.0,1994.0
14,17,98103,47.6648,-122.343,485000.0,SEATTLE,WA,1600.0,1.0,0.0,0.0,4.0,1916.0
15,18,98002,47.3089,-122.21,189000.0,AUBURN,WA,1200.0,1.0,0.0,0.0,4.0,1921.0
16,19,98003,47.3343,-122.306,230000.0,FEDERAL WAY,WA,1250.0,1.0,0.0,0.0,4.0,1969.0
17,20,98133,47.7025,-122.341,385000.0,SEATTLE,WA,1620.0,1.0,0.0,0.0,4.0,1947.0
18,22,98092,47.3266,-122.169,285000.0,AUBURN,WA,2270.0,2.0,0.0,0.0,3.0,1995.0
19,23,98030,47.3533,-122.166,252700.0,KENT,WA,1070.0,1.0,0.0,0.0,3.0,1985.0
20,24,98030,47.3739,-122.172,329000.0,KENT,WA,2450.0,2.0,0.0,0.0,4.0,1985.0
21,25,98002,47.3048,-122.218,233000.0,AUBURN,WA,1710.0,1.0,0.0,0.0,5.0,1941.0
22,26,98119,47.6386,-122.36,937000.0,SEATTLE,WA,2450.0,2.0,0.0,0.0,3.0,1915.0
23,27,98112,47.6221,-122.314,667000.0,SEATTLE,WA,1400.0,1.0,0.0,0.0,5.0,1909.0
24,28,98115,47.695,-122.304,438000.0,SEATTLE,WA,1520.0,1.0,0.0,0.0,3.0,1948.0
25,29,98052,47.7073,-122.11,719000.0,REDMOND,WA,2570.0,2.0,0.0,0.0,3.0,2005.0
26,30,98027,47.5391,-122.07,580500.0,ISSAQUAH,WA,2320.0,2.0,0.0,0.0,3.0,2003.0
27,31,98133,47.7274,-122.357,280000.0,SEATTLE,WA,1190.0,3.0,0.0,0.0,3.0,2005.0
28,32,98117,47.6823,-122.368,687500.0,SEATTLE,WA,2330.0,1.0,0.0,0.0,4.0,1929.0
29,33,98117,47.6889,-122.375,535000.0,SEATTLE,WA,1090.0,1.0,0.0,0.0,4.0,1929.0
30,34,98058,47.4276,-122.157,322500.0,RENTON,WA,2060.0,1.0,0.0,0.0,3.0,1981.0
31,35,98115,47.6827,-122.31,696000.0,SEATTLE,WA,2300.0,1.0,0.0,0.0,3.0,1930.0
32,37,98107,47.6702,-122.362,640000.0,SEATTLE,WA,2360.0,2.0,0.0,0.0,4.0,1904.0
33,38,98001,47.3341,-122.282,240000.0,AUBURN,WA,1220.0,1.0,0.0,0.0,2.0,1969.0
34,39,98056,47.5301,-122.18,605000.0,RENTON,WA,2620.0,2.0,0.0,0.0,3.0,1996.0
35,40,98074,47.6145,-122.027,625000.0,SAMMAMISH,WA,2570.0,2.0,0.0,0.0,3.0,2000.0
36,42,98053,47.6848,-122.016,861990.0,REDMOND,WA,3595.0,2.0,0.0,0.0,3.0,2014.0
37,43,98119,47.6413,-122.364,685000.0,SEATTLE,WA,1570.0,2.0,0.0,0.0,3.0,1922.0
38,44,98058,47.4485,-122.175,309000.0,RENTON,WA,1280.0,1.0,0.0,0.0,4.0,1959.0
39,45,98019,47.7443,-121.977,488000.0,DUVALL,WA,3160.0,2.0,0.0,0.0,3.0,2003.0
40,46,98023,47.3066,-122.371,210490.0,FEDERAL WAY,WA,990.0,1.0,0.0,0.0,3.0,1966.0
41,47,98007,47.6194,-122.151,785000.0,BELLEVUE,WA,2290.0,2.0,0.0,0.0,4.0,1981.0
42,48,98115,47.6796,-122.301,450000.0,SEATTLE,WA,1250.0,1.0,0.0,0.0,4.0,1953.0
43,50,98148,47.4258,-122.322,228000.0,SEATTLE,WA,1190.0,1.0,0.0,0.0,3.0,1955.0
44,51,98056,47.4934,-122.189,345000.0,RENTON,WA,3150.0,1.0,0.0,0.0,4.0,1966.0
45,52,98117,47.6808,-122.384,600000.0,SEATTLE,WA,1410.0,1.0,0.0,0.0,4.0,1950.0
46,53,98117,47.6989,-122.369,585000.0,SEATTLE,WA,1980.0,1.0,0.0,0.0,3.0,1981.0
47,54,98105,47.6571,-122.281,920000.0,SEATTLE,WA,2730.0,1.0,0.0,0.0,3.0,1927.0
